city,year,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,dew_humidity,station_precip_mm
iq,2010,26,2010-07-02,0.1837833,0.1425,0.2251286,0.1502143,297.648571429,299.214285714,307.9,293.7,34.11,92.5814285714,82.29,9.42857142857,27.44,10.76,33.8,21.5,-1.008909979437749,11.2
iq,2010,27,2010-07-09,0.2916571,0.2722667,0.3307,0.3209143,298.224285714,299.464285714,307.7,292.2,9.1,83.8857142857,25.3,10.1571428571,27.025,9.625,33.0,21.2,0.844978602104025,8.9
iq,2010,28,2010-07-16,0.2085429,0.3664571,0.2126286,0.2555143,297.955714286,298.964285714,306.4,292.5,61.09,92.0571428571,62.14,9.55714285714,26.95,10.35,33.4,21.6,-1.4862892238219936,22.6
iq,2010,29,2010-07-23,0.08928571,0.06321429,0.1220571,0.08195714,295.715714286,296.642857143,306.4,289.3,19.6,88.97,47.8,7.82857142857,26.9,9.7,33.3,14.2,2.3407992211495867,4.8
iq,2010,30,2010-07-30,0.3061,0.3276833,0.2500857,0.2679143,298.502857143,300.0,308.1,290.5,18.93,78.61,56.3,11.7714285714,27.05,11.85,33.5,16.9,2.1099206356695888,3.0
iq,2010,31,2010-08-06,0.34202,0.3048571,0.3323571,0.3457286,298.611428571,300.464285714,309.7,293.4,32.92,83.2742857143,16.95,11.1571428571,27.7,12.6,34.0,20.0,0.46361489919751087,92.2
iq,2010,32,2010-08-13,0.3322167,0.3848167,0.3566,0.3539167,298.305714286,299.7,309.3,292.2,10.5,72.4714285714,9.88,11.8285714286,26.4333333333,12.0333333333,34.2,18.5,4.430490972931125,0.0
iq,2010,33,2010-08-20,0.2218143,0.2241,0.2730857,0.2312429,298.724285714,300.892857143,309.2,293.2,20.3,81.5571428571,15.76,12.6428571429,27.275,11.375,34.0,21.0,0.818121375579942,20.3
iq,2010,34,2010-08-27,0.3190429,0.3158714,0.3267,0.3440571,299.914285714,301.785714286,311.1,292.3,14.21,68.6157142857,7.82,14.4857142857,27.4,13.1,34.7,20.0,3.653615823466802,4.658995340452535
iq,2010,35,2010-09-03,0.3420143,0.3019286,0.3147,0.381,300.224285714,301.535714286,310.6,294.1,41.1,77.2028571429,59.06,12.6714285714,28.175,13.2,36.2,21.0,0.24307253278768023,8.5
iq,2010,36,2010-09-10,0.1165833,0.1002833,0.1406833,0.1138167,298.501428571,299.521428571,309.0,292.8,50.0,85.6914285714,37.9,10.1,27.1,11.1666666667,35.4,21.0,-0.3290637173560295,15.0
iq,2010,37,2010-09-17,0.2591667,0.26732,0.2123286,0.3265429,299.948571429,301.35,311.8,293.7,17.7,75.27,16.86,12.6142857143,28.225,13.175,35.2,21.0,1.1675202069584172,4.1
iq,2010,38,2010-09-24,0.3062143,0.2635857,0.3215429,0.3791714,298.704285714,300.414285714,309.2,293.7,156.0,85.72,46.96,10.6285714286,28.8666666667,13.0666666667,36.2,19.1,-0.44989342811256494,26.9
iq,2010,39,2010-10-01,0.3867857,0.3726286,0.3796143,0.3973571,300.064285714,301.678571429,311.5,293.3,13.16,73.5128571429,28.63,13.2428571429,28.4,12.6666666667,35.8,21.2,1.6241942822595563,1.5
iq,2010,40,2010-10-08,0.30415,0.3368667,0.2538833,0.3275333,301.935714286,303.328571429,314.1,294.8,249.4,66.31,26.29,13.6285714286,29.08,14.38,38.4,20.5,1.8065053086673077,14.1
iq,2010,41,2010-10-15,0.3290429,0.2942714,0.3070286,0.3938143,299.8,301.714285714,310.7,293.5,28.5,79.7628571429,33.49,12.3142857143,28.65,12.5,35.7,19.8,0.09675854519761991,25.9
iq,2010,42,2010-10-22,0.2441286,0.1928833,0.2322286,0.2819286,298.857142857,301.407142857,311.4,293.8,141.6,87.7528571429,34.93,12.6142857143,27.8,13.5,35.0,19.8,-1.1570921479383431,8.1
iq,2010,43,2010-10-29,0.2396,0.2375286,0.1940714,0.2292,299.341428571,300.692857143,309.6,294.5,75.1,87.8028571429,47.9,9.78571428571,29.1333333333,11.8666666667,36.0,21.2,-2.147595969008397,4.0
iq,2010,44,2010-11-05,0.2840286,0.3218429,0.2682429,0.1984286,299.597142857,301.492857143,310.4,296.0,85.3,90.64,47.11,9.81428571429,28.48,13.3,36.0,21.2,-3.502372090081413,46.0
