city,year,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,dew_humidity,total_cases
iq,2000,26,2000-07-01,0.1928857,0.1322571,0.3408857,0.2472,296.74,298.45,307.3,293.1,43.19,92.4185714286,25.41,8.92857142857,26.4,10.775,32.5,20.7,3.0,0.11117479319434374,0
iq,2000,27,2000-07-08,0.2168333,0.2761,0.2894571,0.2416571,296.634285714,298.428571429,306.6,291.1,46.0,93.5814285714,60.61,10.3142857143,26.9,11.5666666667,34.0,20.8,55.6,-0.16168923982293051,0
iq,2000,28,2000-07-15,0.1767571,0.1731286,0.2041143,0.1280143,296.415714286,297.392857143,304.5,292.6,64.77,95.8485714286,55.52,7.38571428571,26.8,11.4666666667,33.0,20.7,38.1,-0.5303664489334889,0
iq,2000,29,2000-07-22,0.2277286,0.1454286,0.2542,0.2003143,295.357142857,296.228571429,303.6,288.6,23.96,87.2342857143,5.6,9.11428571429,25.7666666667,10.5333333333,31.5,14.7,30.0,3.3683123450827375,0
iq,2000,30,2000-07-29,0.3286429,0.3221286,0.2543714,0.3610429,296.432857143,297.635714286,307.0,291.5,31.8,88.1614285714,62.76,9.5,26.6,11.48,33.3,19.1,4.0,1.8323870887004803,0
iq,2000,31,2000-08-05,0.2055286,0.1907571,0.2316714,0.2553143,297.191428571,298.285714286,306.2,288.5,1.0,74.7285714286,16.24,13.7714285714,25.34,10.94,32.0,17.0,11.5,4.839879312653534,0
iq,2000,32,2000-08-12,0.3124857,0.3299857,0.3805857,0.3872714,297.32,298.978571429,308.8,292.1,26.68,83.2757142857,89.37,11.4714285714,27.0166666667,11.65,34.0,19.9,72.9,2.022283891434404,0
iq,2000,33,2000-08-19,0.3841333,0.39224,0.34178,0.38275,297.627142857,299.335714286,307.9,290.6,16.9,82.49,42.08,13.7,26.5833333333,10.3166666667,33.0,20.5,50.1,1.7920299066987986,0
iq,2000,34,2000-08-26,0.4081571,0.3221571,0.4067143,0.3027143,298.238571429,299.571428571,310.1,291.3,5.59,74.74,49.22,13.7714285714,26.9,13.4,34.0,19.0,89.2,3.283780311272811,0
iq,2000,35,2000-09-02,0.3320429,0.3210571,0.3146143,0.3242571,299.218571429,300.928571429,310.5,292.9,16.07,74.1514285714,53.65,12.4571428571,27.1166666667,12.2666666667,34.0,20.0,78.0,2.4482435568931007,0
iq,2000,36,2000-09-09,0.2955857,0.2956833,0.3122143,0.2659286,300.802857143,301.935714286,312.8,291.5,2.5,57.7871428571,23.12,14.9,28.3666666667,12.9,35.8,21.7,56.9,6.152982413693031,1
iq,2000,37,2000-09-16,0.2846571,0.3097571,0.3878833,0.3281571,299.858571429,301.371428571,310.7,292.3,4.1,71.66,34.62,13.8571428571,27.425,12.775,34.5,20.5,18.9,2.209840608148225,0
iq,2000,38,2000-09-23,0.3488143,0.2957167,0.4048429,0.2425714,297.435714286,298.514285714,310.2,288.3,3.2,77.4871428571,97.55,11.3142857143,27.5333333333,12.5666666667,36.0,20.5,104.2,3.4976200742045953,0
iq,2000,39,2000-09-30,0.1756857,0.09948333,0.2257143,0.1827857,299.355714286,300.885714286,310.8,290.0,2.6,71.4628571429,95.89,14.9428571429,27.15,12.175,34.0,20.5,57.9,2.811903980339606,0
iq,2000,40,2000-10-07,0.33754,0.2769429,0.2775,0.25505,298.372857143,300.5,309.8,292.7,16.6,82.3714285714,46.22,11.9714285714,26.7,11.675,34.0,20.0,63.0,0.8343775478962958,0
iq,2000,41,2000-10-14,0.2235333,0.1339143,0.3498,0.1009167,298.474285714,300.285714286,309.2,291.9,21.9,81.5228571429,31.1,13.4857142857,27.6571428571,11.3,34.0,21.0,3.0,0.9394515856657613,1
iq,2000,42,2000-10-21,0.2748,0.1870571,0.3739429,0.2794714,299.211428571,301.15,311.8,292.3,9.9,75.54,25.21,14.9285714286,27.775,12.275,36.0,21.0,45.2,1.7373175496924467,1
iq,2000,43,2000-10-28,0.3673,0.30555,0.45538,0.3258,299.541428571,301.1,310.2,291.9,23.3,76.9414285714,49.25,13.4571428571,28.0,12.4666666667,34.6,20.0,57.9,0.7697188373329934,0
