city,year,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,dew_humidity,total_cases
sj,1990,18,1990-04-30,0.1226,0.103725,0.1984833,0.1776167,297.572857143,297.742857143,299.8,295.9,32.0,73.3657142857,12.42,2.62857142857,25.4428571429,6.9,29.4,20.0,16.0,3.935122540676646,4
sj,1990,19,1990-05-07,0.1699,0.142175,0.1623571,0.1554857,298.211428571,298.442857143,300.9,296.4,17.94,77.3685714286,22.82,2.37142857143,26.7142857143,6.37142857143,31.7,22.2,8.6,1.887157592176574,5
sj,1990,20,1990-05-14,0.03225,0.1729667,0.1572,0.1708429,298.781428571,298.878571429,300.5,297.3,26.1,82.0528571429,34.54,2.3,26.7142857143,6.48571428571,32.2,22.8,41.4,-0.20482003187711403,4
sj,1990,21,1990-05-21,0.1286333,0.2450667,0.2275571,0.2358857,298.987142857,299.228571429,301.4,297.0,13.9,80.3371428571,15.36,2.42857142857,27.4714285714,6.77142857143,33.3,23.3,4.0,0.007484000094808922,3
sj,1990,22,1990-05-28,0.1962,0.2622,0.2512,0.24734,299.518571429,299.664285714,301.9,297.5,12.2,80.46,7.52,3.01428571429,28.9428571429,9.37142857143,35.0,23.9,5.8,-0.7340466562255472,6
sj,1990,23,1990-06-04,0.1658983970538639,0.17485,0.2543143,0.1817429,299.63,299.764285714,302.4,298.1,26.49,79.8914285714,9.58,2.1,28.1142857143,6.94285714286,34.4,23.9,39.1,-0.7571878327972842,2
sj,1990,24,1990-06-11,0.1129,0.0928,0.2050714,0.2102714,299.207142857,299.221428571,301.3,297.7,38.6,82.0,3.48,2.04285714286,27.4142857143,6.77142857143,32.2,23.3,29.7,-0.7824655839037405,4
sj,1990,25,1990-06-18,0.0725,0.0725,0.1514714,0.1330286,299.591428571,299.528571429,300.6,298.4,30.0,83.3757142857,151.12,1.57142857143,28.3714285714,7.68571428571,33.9,22.8,21.1,-1.778726190961586,5
sj,1990,26,1990-06-25,0.10245,0.146175,0.1255714,0.1236,299.578571429,299.557142857,302.1,297.7,37.51,82.7685714286,19.32,1.88571428571,28.3285714286,7.38571428571,33.9,22.8,21.1,-1.5381963596867412,10
sj,1990,27,1990-07-02,0.07443282622871727,0.12155,0.1606833,0.2025667,300.154285714,300.278571429,302.3,298.7,28.4,81.2814285714,14.41,2.01428571429,28.3285714286,6.51428571429,33.9,24.4,1.1,-1.9301601102426653,6
sj,1990,28,1990-07-09,0.192875,0.08235,0.1919429,0.1529286,299.512857143,299.592857143,301.8,298.0,43.72,81.4671428571,22.27,2.15714285714,27.5571428571,7.15714285714,31.7,21.7,63.7,-1.0370501690639446,8
sj,1990,29,1990-07-16,0.2916,0.2118,0.3012,0.2806667,299.667142857,299.75,302.0,297.3,40.9,82.1442857143,59.17,2.41428571429,28.1285714286,6.9,32.8,23.9,12.2,-1.4694777033311128,2
sj,1990,30,1990-07-23,0.1505667,0.1717,0.2269,0.2145571,299.558571429,299.635714286,301.8,297.1,42.53,80.7428571429,16.48,2.07142857143,28.1142857143,6.35714285714,31.7,22.8,32.6,-0.9249390634026229,6
sj,1990,31,1990-07-30,0.20581367594704325,0.24715,0.3797,0.3813571,299.862857143,299.95,303.0,298.3,34.6,80.5842857143,32.66,2.58571428571,28.2428571429,8.08571428571,34.4,22.8,37.6,-1.2543806787046685,17
sj,1990,32,1990-08-06,0.04624074431296954,0.06433333,0.1644429,0.1388571,300.391428571,300.478571429,302.5,298.8,20.0,79.65,28.8,2.32857142857,28.2,7.55714285714,33.3,23.3,11.4,-1.7604467445830045,23
sj,1990,33,1990-08-13,0.10084566230041325,0.1280333,0.2069571,0.1682429,299.958571429,299.957142857,302.6,298.5,101.9,84.1785714286,90.75,1.85714285714,28.0428571429,6.68571428571,32.8,22.8,44.7,-2.516245357504146,13
sj,1990,34,1990-08-20,0.1902333,0.1688,0.1676571,0.1722857,300.332857143,300.414285714,302.5,298.1,25.9,80.9471428571,32.4,2.48571428571,28.3428571429,7.01428571429,33.3,23.3,5.4,-2.057525086350657,21
sj,1990,35,1990-08-27,0.2529,0.33075,0.2641714,0.2843143,300.118571429,300.221428571,302.2,298.7,39.8,83.3485714286,40.94,1.9,28.6571428571,6.52857142857,32.2,24.4,13.7,-2.5031765168319775,28
sj,1990,36,1990-09-03,0.2354,0.200025,0.2838167,0.2304429,300.53,300.635714286,303.8,298.0,30.4,77.1728571429,28.86,3.47142857143,28.3285714286,7.61428571429,32.8,23.3,14.2,-1.1908144829930694,24
sj,1990,37,1990-09-10,0.1279667,0.4371,0.1234,0.1482833,300.674285714,300.792857143,302.9,299.0,24.18,81.5514285714,64.56,2.9,28.6857142857,8.05714285714,33.9,24.4,25.9,-2.8125703700397393,20
sj,1990,38,1990-09-17,0.19635,0.1824333,0.2548286,0.3056857,299.857142857,299.9,301.7,298.7,36.6,81.6371428571,143.73,1.74285714286,28.2428571429,8.11428571429,32.8,23.9,3.3,-1.6484713125653099,40
sj,1990,39,1990-09-24,0.1161,0.2609,0.1994429,0.2442167,300.427142857,300.6,302.4,299.1,16.4,77.0485714286,51.39,2.25714285714,28.3428571429,7.72857142857,32.8,24.4,15.8,-1.0635270360990177,27
